 ID	Loại test	Tên test case	Điều kiện tiên quyết	Dữ liệu test	Các bước test	Kết quả mong muốn	Kết quả thực tế	Trạng thái	Người test	Ngày test	Nhận xét
STA-007	Test Unit	Tìm kiếm Tab 2 để trống tiêu đề	- Đang ở Tab 2.	- favTitle=""	1. Để trống ô tìm kiếm và nhấn Submit.	Trả về toàn bộ danh sách người dùng đã thích video.		Not Executed	Trung Hiếu	30/1/2026	
STA-008	Test Unit	Tìm kiếm Tab 3 để trống tiêu đề	- Đang ở Tab 3	- shareTitle=""	1. Để trống ô tìm kiếm và nhấn Submit.	Trả về toàn bộ danh sách chia sẻ của hệ thống.		Not Executed	Trung Hiếu	30/1/2026	
STA-009	Test Auto	Chuyển đổi trạng thái Tab	- Đang ở trang thống kê.	- Tham số tab	1. Nhấn trực tiếp vào tiêu đề các Tab trên giao diện.	Giao diện đổi màu highlight đúng Tab đã chọn.		Not Executed	Trung Hiếu	30/1/2026	
STA-010	Test Auto	Truy cập trực tiếp	- Lần đầu vào trang.		1.Nhập URL /admin/statistics	Hệ thống tự động gán và hiển thị tab1		Not Executed	Trung Hiếu	30/1/2026	
Chức năng 11: Thống kê Bảng điều khiển (Dashboard)											
DBA-001	Test Auto	Load tổng số Video, User, Like, Share	DB có dữ liệu.		1.Truy cập /admin/home.	Hiển thị đúng 4 chỉ số từ AdminStatDTO.		Not Executed	Trung Hiếu	30/1/2026	
DBA-002	Test Unit	Load Top 10 video nhiều Like nhất	Có > 10 video được like.		1.Quan sát bảng Top 10 trên Dashboard.	Hiển thị đúng 10 video có lượt like cao nhất, giảm dần.		Not Executed	Trung Hiếu	30/1/2026	
DBA-003	Test Auto	Load danh sách video làm Banner	Có video banner.		1.Truy cập Dashboard.	Thuộc tính bannerVideos hiển thị đúng trên giao diện.		Not Executed	Trung Hiếu	30/1/2026	
DBA-004	Test Unit	Xử lý khi DB trống	Xóa sạch dữ liệu DB.		1.Truy cập /admin/home.	Các con số hiển thị là 0, không lỗi Null.		Not Executed	Trung Hiếu	30/1/2026	
DBA-005	Test Auto	Kiểm tra tổng số User chính xác	DB có 10 User.		1.Đối chiếu số totalUser trên giao diện.	Hiển thị đúng số 10 dựa trên lệnh COUNT(u2).		Not Executed	Trung Hiếu	30/1/2026	
DBA-006	Test Auto	Kiểm tra tổng số Video chính xác	DB có 20 Video.		1.Đối chiếu số totalVideo trên giao diện.	Hiển thị đúng số 20 dựa trên lệnh COUNT(v).		Not Executed	Trung Hiếu	30/1/2026	
DBA-007	Test Auto	Kiểm tra thông tin Video Top 10	Video có poster, title.		1.Xem chi tiết 1 dòng trong bảng Top 10.	Title, Poster, Views khớp với VideoDetailDTO.		Not Executed	Trung Hiếu	30/1/2026	
DBA-008	Test Auto	Cập nhật số liệu sau tương tác	Có lượt like mới.	User nhấn Like.	1.Admin thực hiện F5 (làm mới) trang Dashboard.	totalLike tăng và Top 10 cập nhật ngay.		Not Executed	Trung Hiếu	30/1/2026	
DBA-009	Test Auto	Kiểm tra đồng bộ dữ liệu Share	Có lượt share mới.	User thực hiện Share.	1.Admin làm mới trang Dashboard.	totalShare tăng thêm dựa trên COUNT(s).		Not Executed	Trung Hiếu	30/1/2026	
DBA-010	Test Auto	Giới hạn Top 10 khi ít dữ liệu	Chỉ có 2 video được like.		1.Xem bảng Top 10 trên Dashboard.	Chỉ hiển thị 2 video, không hiện dòng trống hay lỗi.		Not Executed	Trung Hiếu	30/1/2026	
											
											
											
											
											
		Test Unit	66								
		Test Auto	43								
